"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TBCB",5.63175103952384e-05,0.30145744955959,0.631,0.447,0.849437009291381,"NK","TBCB"
"FXYD5",5.84435543773954e-05,0.280735053556711,0.908,0.704,0.881504130674255,"NK","FXYD5"
"GPR65",5.87874975463594e-05,0.393258616355804,0.415,0.242,0.886691825491739,"NK","GPR65"
"SH2D2A",5.97441979090287e-05,0.439766557002828,0.292,0.14,0.90112173706188,"NK","SH2D2A"
"DNAJC1",6.01439486845662e-05,0.319630282915578,0.508,0.332,0.907151178009312,"NK","DNAJC1"
"AKAP13",6.22977889091419e-05,0.374981426637398,0.754,0.569,0.939637550116587,"NK","AKAP13"
"COPS6",6.27827136085752e-05,0.362778497557724,0.523,0.357,0.946951669358139,"NK","COPS6"
"NSMCE1",6.30910266539837e-05,0.4162014897197,0.462,0.296,0.951601955022036,"NK","NSMCE1"
"SON",6.39153344632236e-05,0.298094179307809,0.8,0.664,0.964034989708802,"NK","SON"
"IDI1",6.46510339998277e-05,0.335746068633364,0.431,0.258,0.975131545819401,"NK","IDI1"
"C1orf561",6.55643588852804e-05,0.468892714280604,0.662,0.467,0.988907225066684,"NK","C1orf56"
"CPNE1",6.65641653859943e-05,0.360508500987557,0.508,0.329,1,"NK","CPNE1"
"FUS",6.74347973586123e-05,0.375267014806051,0.615,0.473,1,"NK","FUS"
"FMNL1",7.37146486488541e-05,0.319679209115847,0.615,0.443,1,"NK","FMNL1"
"CCDC12",7.56526160047445e-05,0.331567498633313,0.554,0.387,1,"NK","CCDC12"
"POLR2L",9.59823033798892e-05,0.271321525775666,0.938,0.701,1,"NK","POLR2L"
"TSC22D4",9.89010977299124e-05,0.351214754601773,0.569,0.399,1,"NK","TSC22D4"
"SF11",0.000103031751080218,0.39662700800822,0.6,0.458,1,"NK","SF1"
"COMMD4",0.0001047489911002,0.353930905087154,0.338,0.183,1,"NK","COMMD4"
"TSEN54",0.000106877239304288,0.368557292317946,0.292,0.142,1,"NK","TSEN54"
"ACAA2",0.000110640811129101,0.36518640706855,0.462,0.289,1,"NK","ACAA2"
"SYNE2",0.000112410174637196,0.334782716346086,0.538,0.329,1,"NK","SYNE2"
"HSP90AA1",0.000112732036969664,0.257342801257569,0.938,0.75,1,"NK","HSP90AA1"
"NDUFS8",0.000117148698140767,0.304863563033504,0.615,0.455,1,"NK","NDUFS8"
"RPL23A1",0.000120945677510728,0.273633976130313,1,0.821,1,"NK","RPL23A"
